,2019-12-25,2020-01-08,2020-01-10,2020-01-22,2020-01-31,2020-02-05,2020-02-07,2020-02-21,2020-02-28
014CH232W-03B,,1.0,3.0,8.0,5.0,,,6.0,2.0
014CH232W-06B,,,,,2.0,,,,
014CH232W-07B,,,,,,,1.0,,
014CH232W-08B,,2.0,1.0,1.0,5.0,,,1.0,3.0
014CH232W-09B,,,,6.0,2.0,,,1.0,4.0
014CH232W-17B,,,,,,,7.0,2.0,
014CH232W-35,,,,,,,10.0,20.0,
014CH232W-49B,,,,4.0,1.0,,,2.0,2.0
014CH232W-50B,,,,4.0,1.0,,,1.0,2.0
014CH261-03B,,3.0,1.0,4.0,10.0,,4.0,4.0,7.0
014CH261-17B,,5.0,,,5.0,,,,
014CH271-35,,,,20.0,20.0,,,20.0,
014CH271-LEG DB,,,,100.0,,,100.0,,
014CH271-LEG NA,,,50.0,,,,,50.0,
014CH271E-03B,,,4.0,,13.0,,4.0,4.0,3.0
014CH271E-08B,1.0,2.0,5.0,14.0,,,4.0,14.0,
014CH271E-09B,1.0,4.0,3.0,6.0,,,1.0,3.0,2.0
014CH271E-17B,,,2.0,2.0,10.0,,3.0,4.0,1.0
014CH271E-41B,3.0,2.0,,4.0,1.0,,2.0,4.0,3.0
014CH271E-42B,,3.0,3.0,4.0,2.0,,3.0,5.0,
014CH271E-49B,3.0,4.0,3.0,12.0,,,,4.0,6.0
014CH271E-50B,2.0,5.0,6.0,18.0,8.0,,3.0,14.0,2.0
014CH351-02B,,,,3.0,,,1.0,3.0,4.0
014CH351-03B,,3.0,,3.0,,,6.0,4.0,9.0
014CH351-06B,,,,3.0,,,6.0,,5.0
014CH351-07B,,1.0,1.0,3.0,10.0,,3.0,,2.0
014CH351-17B,,2.0,,1.0,5.0,,1.0,1.0,6.0
014CH351-49B,,1.0,1.0,3.0,8.0,,3.0,,4.0
014CH351-50B,,,,3.0,3.0,,2.0,,3.0
014CH356-59B,,,,5.0,20.0,,,20.0,20.0
014LEG60PI-DB,,,100.0,100.0,,,,,
014N264-F,,96.0,,,,,192.0,288.0,96.0
014N528-03SE,,,,,5.0,,,5.0,
014N528-03ZA,,,,,,,5.0,,5.0
014N528-17ZA,,10.0,10.0,20.0,,,10.0,20.0,
014N528-35,,10.0,10.0,30.0,,,20.0,10.0,20.0
014N528-36,,40.0,,80.0,,,50.0,40.0,
014N528-37,,40.0,30.0,110.0,,,50.0,50.0,90.0
014N528-41/42SE,,10.0,,50.0,,,20.0,20.0,30.0
014N528-41/42ZA,,20.0,,50.0,,,20.0,,30.0
014N528-41S/42SSE,,10.0,10.0,10.0,,,10.0,10.0,10.0
014N528-41S/42SZA,,10.0,,30.0,,,,10.0,
014N528-49/50/03ARM,,40.0,20.0,80.0,20.0,,40.0,40.0,60.0
014N528-49/50SE,,30.0,20.0,70.0,20.0,,40.0,30.0,70.0
014N528-49/50ZA,,30.0,30.0,70.0,,,50.0,40.0,70.0
014N528-F,,,,128.0,128.0,,512.0,,256.0
014N666LEG-DB,,,,100.0,,,,,
014N666LEG-NA,,,,,,,50.0,,50.0
014T516LEG,,,,30.0,,,,,
014T517-06/07SE,,,,10.0,,,,,10.0
014T517-06/07ZA,,,,,5.0,,5.0,,
014T517-08/09/10ZA,,10.0,,40.0,,,,,40.0
014T517-08/09SEL,,,,20.0,,,,,20.0
014T517-10/08/09SES,,10.0,,20.0,,,,,20.0
014T517-17LZA,,,,,,,,10.0,
014T517-17SZA,,10.0,,,,,,,10.0
014T517-20SE,,,,20.0,,,,,
014T517-20ZA,,,,5.0,,,10.0,,
