014T521-506,,,,,,0,0,3,0,2,0,0
014T521-600,,,,,,3,4,2,0,0,4,2
014T521-601,,,,,,5,1,0,0,2,2,1
014T521-602,,,,,,0,0,0,2,0,4,2
014T521-603,,,,,,8,7,7,6,4,8,2
014T521-701,,,,,,20,10,6,8,6,16,6
015HF-08MIC,,,,,,,,,0,0,0,0
015HF-08MOC,,,,,,,,,0,0,0,0
015HF-10MIC,,,,,,,,,6,2,0,0
015HF-10MOC,,,,,,,,,10,2,0,0
015HF-12MIC,,,,,,,,,0,0,0,0
015HF-12MOC,,,,,,,,,0,0,0,0
015HF-14MIC,,,,,,,,,0,0,0,0
015HF-14MOC,,,,,,,,,0,0,0,0
015HF-16MIC,,,,,,,,,,0,0,0
015HF-16MOC,,,,,,,,,,0,0,0
CH907-03  SP/122N,,,,,,,,,,,,
CH907-17  SP/122N,,,,,,,,,,,,
"CH907-06  SP/122N,SP/126N",,,,,,,,,,,,
"CH907-07  SP/122N,SP/126N",,,,,,,,,,,,
"CH907-49  SP/122N,SP/126N",,,,,,,,,,,,
"CH907-50  SP/122N,SP/126N",,,,,,,,,,,,
CH907-03  SP/126N,,,,,,,,,,,,
CH907-17  SP/126N,,,,,,,,,,,,
"CH907-06  SP/126N,SP/122N",,,,,,,,,,,,
"CH907-07  SP/126N,SP/122N",,,,,,,,,,,,
"CH907-49  SP/126N,SP/122N",,,,,,,,,,,,
"CH907-50  SP/126N,SP/122N",,,,,,,,,,,,
