,SN/02, Fabric only ,CHILI:17(ブラック）,50,M,5.7,,,SN/02[CHILI-17],,,布地,,
LH03-06 HSQ9066/05,LH03-20L HSQ9066/05,リビングハウス,別製品 布地:103100474 HSQ9066/05/BE,1,pcs,269.1,,,LH03-06 HSQ9066/05,,157787,,0.46,2817
LH03LEG-L,LH03LEG-L 鉄脚(大),リビングハウス,別製品 金属脚 L (1set = 2pcs),2,set,26.2,,,LH03LEG-L,,157787,,0.03,2919
LH03-731 HSQ9066/05,LH03-2PR HSQ9066/05,リビングハウス,別製品 布地:103100474 HSQ9066/05/MOU/BE,1,pcs,281.8,,,LH03-731 HSQ9066/05,,157787,,0.45,4601
CH271N-08 SP/190,CH271N-08 SP/190,マチルダ,別製品 CU37x1付き ,1,pcs,223.8,,,CH271N-08 SP/190[LARC-16 (MOCA)],,157790,,0.98,1927
CH271N-50 SP/190,CH271N-50 SP/190,マチルダ,別製品 CU37x1付き,1,set,218.7,,,CH271N-50 SP/190[LARC-16 (MOCA)],,157790,,0.98,1991
LH03-632 SD490/06,LH03-2PL SD490/06,リビングハウス,布地:103100656 SD490/06/DOLLY/BL,1,pcs,250.9,,,LH03-632 SD490/06,,157885,,0.470764,2896
LH03LEG-L,LH03LEG-L 鉄脚(大),リビングハウス,別製品 金属脚 L (1set = 2pcs),2,set,26.2,,,LH03LEG-L,,157885,,0.03,2919
LH03-07 SD490/06,LH03-20R SD490/06,リビングハウス,布地:103100656 SD490/06/DOLLY/BL,1,pcs,239.2,,,LH03-07 SD490/06,,157885,,0.459068,2835
CH271-35 SP/206,CH271-35 SP/206,マチルダ,別製品,2,pcs,17.9,,,CH271-35 SP/206[FREE-97],,157930,,,3940
CH271N-50 SP/209,CH271N-50 SP/209,マチルダ,別製品 CU37x1付き,1,set,218.7,,,CH271N-50 SP/209[FREE-93],,157930,,1,2000
CH271-42 SP/209,CH271-42 SP/209,マチルダ 2重カバー仕様,別製品 CU37x1付き,1,set,230.2,,,CH271-42 SP/209[FREE-93],,157930,,0.8,1721
CH271-35 SP/122N,CH271-35 SP/122N,マチルダ,別製品,2,pcs,15,,,CH271-35 SP/122N,,157996,,,4649
CH271N-49 SP/190,CH271N-49 SP/190,マチルダ,別製品 CU37x1付き ,1,set,218.7,,,CH271N-49 SP/190[LARC-16 (MOCA)],,157996,,0.98,1971
CH271-41 SP/190,CH271-41 SP/190,マチルダ,別製品 CU37x1付き,1,set,230.2,,,CH271-41 SP/190[LARC-16 (MOCA)],,157996,,1,1664
CH232W-35 SP/180,CH232W-35 SP/180,クッション 小35,,2,pcs,17.3,,,CH232W-35 SP/180,,158017,,0.0125,3981
TF943B-06 DB SP/206,TF943B-06 SP/206,,別製品 腰クッションなし DB脚同梱,1,pcs,,,,TF943B-06 DB SP/206[FREE-97],,158021,,1.06,3267
TF943B-50 DB SP/206,TF943B-50 SP/206,,別製品 腰クッションなし DB脚同梱,1,pcs,,,,TF943B-50 DB SP/206[FREE-97],,158021,,,3335
CH1071N-03SET DB SP/184,CH1071N-3P+0.5P SP/184,肘ノックダウン仕様,別製品 肘クッション 2個 DB脚同梱 ,1,set,423.7,,,CH1071N-03SET DB SP/184,,158034,,1.37,317
CH271N-49 SP/192,CH271N-49 SP/192,マチルダ,別製品 CU37x1付き ,1,set,218.7,,,CH271N-49 SP/192[LARC-1(BE)],,158039,,0.98,1973
CH271N-09 SP/192,CH271N-09 SP/192,マチルダ,別製品 CU37x1付き ,1,set,224.4,,,CH271N-09 SP/192[LARC-1(BE)],,158039,,0.98,1951
CH232W-03 SP/209,CH232W-03 SP/209,レコルタⅡ,別製品 CU37x2付き,1,set,247.1,,,CH232W-03 SP/209[FREE-93],,158045,,1.25,4441
CH232W-17 SP/209,CH232W-17 SP/209,スツール,,1,pcs,76,,,CH232W-17 SP/209[FREE-93],,158045,,0.16,958
CH1069-03C SP/199,CH1069-3PC SP/199,総幅(W):2000mm Cover Only,別製品,1,set,88.8,,,CH1069-03C SP/199[LARC-3(WH)],,158084,,,4651
CH1069-59C SP/199,CH1069-HRC SP/199,Head-rest Cover Only,別製品,2,pcs,5.5,,,CH1069-59C SP/199[LARC-3(WH)],,158084,,,4652
CH271-03 SP/209,CH271-03 SP/209,マチルダ,別製品 CU37x2付き,1,set,309.3,,,CH271-03 SP/209[FREE-93],,158099,,1.13,1272
CH271-03 SP/196,CH271-03 SP/196,マチルダ,別製品 CU37x2付き,1,set,298.4,,,CH271-03 SP/196[LARC-17(DBR)],,158101,,1.13,1266
CH271-17 SP/196,CH271-17 SP/196,マチルダ Stool,別製品,1,pcs,91.9,,,CH271-17 SP/196[LARC-17(DBR)],,158101,,0.17,1449
CH271-42 SP/206,CH271-42 SP/206,マチルダ 2重カバー仕様,別製品 CU37x1付き,1,set,230.2,,,CH271-42 SP/206[FREE-97],,158109,,0.8,1719
CH271N-50 SP/206,CH271N-50 SP/206,マチルダ,別製品 CU37x1付き,1,set,218.7,,,CH271N-50 SP/206[FREE-97],,158109,,1,1998
CH271N-08 SP/209,CH271N-08 SP/209,マチルダ,別製品 CU37x1付き,1,pcs,224.4,,,CH271N-08 SP/209[FREE-93],,158121,,0.98,1934
CH271N-09 SP/196,CH271N-09 SP/196,マチルダ,別製品 CU37x1付き ,1,set,224.4,,,CH271N-09 SP/196[LARC-17(DBR)],,158124,,0.98,1953
CH271N-49 SP/196,CH271N-49 SP/196,マチルダ,別製品 CU37x1付き ,1,set,218.7,,,CH271N-49 SP/196[LARC-17(DBR)],,158124,,0.98,1975
