013CH1069-03C SP/176,0,0,0,1,0,0
013CH1069-59C SP/176,0,0,0,4,0,0
013CH1069-02C SP/178,0,1,0,0,0,0
013CH1069-03C SP/178,,,,2,1,3
013CH1069-59C SP/178,2,0,0,2,0,1
013CH1069-02C SP/197,0,1,0,0,0,1
013CH1069-03C SP/197,0,0,1,1,1,0
013CH1069-59C SP/197,0,0,1,0,0,2
013CH1069-02C SP/198,0,0,0,0,0,0
013CH1069-03C SP/198,0,0,0,0,0,0
013CH1069-59C SP/198,0,0,0,0,0,0
013CH1070-03C SN/02,1,0,1,0,0,0
013CH1070-03LC SN/02,2,2,0,0,0,4
013CH1070-17C SN/02,3,1,1,0,0,3
013CH1070-03C SN/03,0,0,0,1,0,1
013CH1070-03LC SN/03,0,0,0,0,0,1
013CH1070-17C SN/03,0,0,0,0,0,0
013CH1070-17C SP/176,0,0,0,0,0,0
013CH1070-17C SP/178,0,1,0,1,0,1
013CH1070-03C SP/180,0,0,0,0,0,0
013CH1070-03LC SP/180,1,0,0,1,0,0
013CH1070-17C SP/180,1,0,0,1,0,0
013CH1070-03C SP/183,2,0,1,2,1,6
013CH1070-03LC SP/183,4,9,12,5,5,5
013CH1070-17C SP/183,2,5,3,5,5,3
013CH1070-17C SP/197,0,0,0,0,0,0
013CH1070-17C SP/198,1,1,0,0,0,0
014CH1069-02B,0,2,1,1,0,1
014CH1069-03B,0,0,1,4,2,3
014CH1069-59B,2,0,2,6,0,3
014CH1070-03B,3,0,4,5,1,7
014CH1070-03LB,7,11,6,6,5,10
014CH1070-17B,7,8,6,7,5,7
014CH1071LEG-NA,0,0,0,0,0,0
CH1068-STEELLEG BL,,,,,,
CH1069-03 SP/172,0,1,,,,
CH1069-59 SP/172,0,1,,,,
CH1069-03 SP/176,0,0,0,1,0,0
CH1069-59 SP/176,,,,4,,
CH1069-03 SP/178,1,0,0,2,1,3
CH1069-59 SP/178,2,0,0,0,1,1
CH1070-17 SP/172,,,,,,
CH1070-17 SP/176,,,,,,
CH1070-17 SP/178,1,1,0,1,0,1
CH1070-03L SP/180,1,0,0,0,1,0
CH1070-17 SP/180,1,0,0,0,1,0
CH1070-03L SP/182,0,0,0,0,0,0
CH1070-17 SP/182,0,0,0,0,0,0
CH1070-03L SP/183,4,5,8,4,1,4
CH1070-17 SP/183,2,3,5,4,1,3
CH1071E-03SET DB SN/01,,,,,,
CH1071E-03SET DB SN/02,,,,,,
