N528-41/42SE,N528-700(41/42背パッド）,N528-41/42SE,41/42各×1　只有羽毛,20,pcs,9.6,,,N528-41/42SE,,,,0.028,3659,014N528-41/42SE
N528-49/50/03ARM,N528-702,N528-49/50/03ARM,49/50各×1、03×2　只有羽毛,40,pcs,7.0,,,N528-49/50/03ARM,,,,0.028,3661,014N528-49/50/03ARM
T521-603,T521-603,Sofa Pad,,20,pcs,11.7,,,T521-603,,,,,3181,014T521-603
T521-701,T521-701,Sofa Pad,,20,pcs,8.1,,,T521-701,,,,,3182,014T521-701
T565-35,T565-35,背クッション 35サイズ,ポリフィー(羽毛+チップ),20,pcs,,,,T565-35,,,,,5465,014T565-35
CH271E-42 SP/192,CH271E-42 SP/192,マチルダ 2重カバー仕様,別製品 CU37x1付き,1,set,230.2,,,CH271E-42 SP/192[LARC-1(BE)],,JUC000020118,,0.8,1714,CH271   0001471
CH271E-50 SP/192,CH271E-50 SP/192,マチルダ,別製品 CU37x1付き,1,set,218.7,,,CH271E-50 SP/192[LARC-1(BE)],,JUC000020118,,0.98,1993,CH271   0001348
CH271-35 SP/182,CH271-35 SP/182,CU小,別製品,1,pcs,18.4,,,CH271-35 SP/182,,JUC000020118,,,4160,CH271   0000521
CH271-35 SP/184,CH271-35 SP/184,CU小,別製品,1,pcs,18.4,,,CH271-35 SP/184,,JUC000020118,,,4161,CH271   0001205
CH271E-41 SP/206,CH271E-41 SP/206,マチルダ,別製品  CU37x1付き,1,pcs,230.2,,,CH271E-41 SP/206[FREE-97],,JUC000020123,,1.0,1667,CH271   0001468
CH271E-49 SP/206,CH271E-49 SP/206,マチルダ,別製品 CU37x1付き,1,set,218.5,,,CH271E-49 SP/206[FREE-97],,JUC000020123,,0.98,1978,CH271   0001469
CH1129-20LSET DB SP/192 SP/126N,CH1129-20L DB SP/192 SP/126N,"DB脚, クッション部=SP/192 ボディー部=SP/126N",2P片肘ソファ 500x500背クッションx1付,1,set,,,,CH1129-20LSET DB SP/192[LARC-1(BE)] SP/126N,,JUC000020124,,0.88,5781,CH1129  0000036
CH1129-20RSET DB SP/192 SP/126N,CH1129-20R DB SP/192 SP/126N,"DB脚, クッション部=SP/192 ボディー部=SP/126N",2P片肘ソファ 500x500背クッションx1付,1,pcs,,,,CH1129-20RSET DB SP/192[LARC-1(BE)] SP/126N,,JUC000020124,,0.88,6208,CH1129  0000057
CH1129-0.5 DB SP/192 SP/126N,CH1129-0.5P DB SP/192 SP/126N,"DB脚, クッション部=SP/192 ボディー部=SP/126N",スツール,2,pcs,,,,CH1129-0.5 DB SP/192[LARC-1(BE)] SP/126N,,JUC000020124,,0.18,5783,CH1129  0000038
CH271E-17 SP/192,CH271E-17 SP/192,マチルダ Stool,別製品,1,pcs,91.9,,,CH271E-17 SP/192[LARC-1(BE)],,JUC000020133,,0.17,1447,CH271   0001598
CH261-03SET SP/197,CH261-03+17 SP/197,クッション部、ボディ部共 SP/197,スツール同梱 別製品,1,sets,386.7,,,CH261-03SET SP/197[LARC-14(BL)],,JUC000020230,,1.594,6213,CH261   0000682
CH261-02L SP/197,CH261-2.5P SP/197,クッション部=SP/197 ボディー部=SP/197,アクロス 別製品,1,pcs,349.2,,,CH261-02L SP/197[LARC-14(BL)],,JUC000020230,,1.2,6216,CH261   0000683
CH356-59 SP/197,CHS356-59 SP/197,Head-rest ,別製品,1,pcs,22.5,,,CH356-59 SP/197[LARC-14(BL)],,JUC000020230,,0.09,4135,CH356   0000226
CH271-35 SP/221,CH271-35 SP/221,CU小,別製品,1,pcs,,,,CH271-35 SP/221[WD19259A-1(yellow)],,JUC000020230,,,6217,CH271   0001883
CH232W-35 SP/172,CH232W-35 SP/172,クッション 小35,,2,pcs,17.3,,,CH232W-35 SP/172[ASH-BE],,JUC000020230,,0.0125,4968,CH232   0001900
CH232W-35 SP/210,CH232W-35 SP/210,レコルタⅡ,別製品,2,pcs,,,,CH232W-35 SP/210[LARC-32A(GYPK)],,JUC000020230,,,6218,CH232   0001901
CH1072-37 SP/221,CH1072-37 SP/221,背ｸｯｼｮﾝ 大,別製品,2,pcs,,,,CH1072-37 SP/221[WD19259A-1(yellow)],,JUC000020230,,,6219,CH1072  0000154
CH1072-35 SP/209,CH1072-35 SP/209,背クッション 小,,2,pcs,,,,CH1072-35 SP/209[FREE-93],,JUC000020230,,,419,CH1072  0000093
CH232W-08 SP/199,CH232W-08 SP/199,CU37x1付き ,別製品,1,set,196.4,,,CH232W-08 SP/199[LARC-3(WH)],,JUC000020312,,0.9,4567,CH232   0001902
CH232W-50 SP/199,CH232W-50 SP/199, レコルタⅡ, 別製品 CU37x1付き,1,set,193.3,,,CH232W-50 SP/199[LARC-3(WH)],,JUC000020312,,0.94,4574,CH232   0001903
CH232W-35 SP/197,CH232W-35 SP/197,レコルタⅡ,別製品,3,pcs,17.6,,,CH232W-35 SP/197[LARC-14(BL)],,JUC000020312,,,3952,CH232   0001520
CH1071E-03SET DB SP/206,CH1071E-3P+0.5P SP/206,肘ノックダウン仕様,別製品 肘クッション 2個 DB脚同梱 ,1,set,408.3,,,CH1071E-03SET DB SP/206[FREE-97],,JUC000020316,,1.37,5497,CH1071  0000140
