資産区分,資産区分名,拠点CD,拠点名,品目区分,品目区分名,品目CD,品目名,在庫場所CD,在庫場所名,ロケーション,在庫状態区分名,ロット番号,工順,手配内容名,前月末在庫数,在庫単位名,当月入庫数,当月出庫数,現在在庫数,評価単価,現在在庫金額,規格,型式,受注製品名,備考,サイズ１,サイズ２,サイズ３,品種CD,品種名,品目分類CDＡ,品目分類CDＡ名,原価計算しない区分,品目分類CDＢ名,発注フラグ,品目分類CDＣ名,品種大分類CD,品種大分類名,品種中分類CD,品種中分類名,品種小分類CD,品種小分類名,在庫予備項目１,在庫予備項目２,在庫予備項目３,入庫数内訳１,入庫数内訳２,入庫数内訳３,入庫数内訳４,入庫数内訳５,入庫数内訳６,入庫数内訳７,入庫数内訳８,入庫数内訳９,入庫数内訳１０,出庫数内訳１,出庫数内訳２,出庫数内訳３,出庫数内訳４,出庫数内訳５,出庫数内訳６,出庫数内訳７,出庫数内訳８,出庫数内訳９,出庫数内訳１０
1,自社資産,1,南濃工場,5,主要材料,001RT5009,ｺｸﾖD3  ROOT,Z001,南濃倉庫,,通常,,999,購入,9.6,m,-1,0,8.6,1568.93,13492.8,RT5009,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001RT5011,ｺｸﾖD4,Z001,南濃倉庫,,通常,,999,購入,13.5,m,0,0,13.5,2062.22,27839.97,RT5011,,,R-1135-5011,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SAU-TAR-5050C,SAUSALITO/TAR 5050C,Z001,南濃倉庫,,通常,,999,購入,4,個,0,0,4,4400,17600,SAU-TAR-5050C,,,野中さん依頼分,0,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/172,ｱｯｼｭ　BE（ﾍﾞｰｼﾞｭ),Z001,南濃倉庫,,通常,,999,購入,53.4,m,0,12.9,40.5,930,37665,SP/172,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/176,ｱｯｼｭ　BR（ﾌﾞﾗｳﾝ),Z001,南濃倉庫,,通常,,999,購入,46.9,m,0,3.8,43.1,930,40083,SP/176,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/178,ｱｯｼｭ　GY (ｸﾞﾚｰ),Z001,南濃倉庫,,通常,,999,購入,31.4,m,0,12.3,19.1,942.7,18005.57,SP/178,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/190,ﾗﾙｸ ﾓｶ ,Z001,南濃倉庫,,通常,,999,購入,21.3,m,0,0,21.3,870,18531,SP/190,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/191,ﾗﾙｸ ｸﾞﾘｰﾝ,Z001,南濃倉庫,,通常,,999,購入,2.6,m,0,0,2.6,870,2262,SP/191,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/192,ﾗﾙｸ ﾍﾞｰｼﾞｭ,Z001,南濃倉庫,,通常,,999,購入,79.5,m,0,57.9,21.6,870,18792,SP/192,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,57.9,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,5,主要材料,001SP/194,ﾗﾙｸ ｷｬﾒﾙ,Z001,南濃倉庫,,通常,,999,購入,53.5,m,0,0,53.5,870,46545,SP/194,,,,1.4,0,0,2,仕入商品,1,国産布地,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
